Item,თარგმანი
"heating and magnetic stirrer c-mag hs-digital series, 10 l, hs 7 digital",მაგნიტური შემრევი
"Lithium Battery (3,0 Volt)",ლითიუმის ელემენტი
hebefix 200-50 above floor tank,კანალიზაციის ავზი
"Bleaching (3) Reagent Powder Pillows, pK/100",განთიების ფხვნილი
Foam detection cable 70987 for 6110 V3,ფოუამის დეტექციის
Solenoid valve 3/2 NC w/o-ring,სოლენოიდური ვალვო
"Reagent Set, Powder Pillows",რეაგენტის ნაკრები
Handheld display IFC050,მრიცხველის ეკრანი
"LDO Sensorkappe für
INTELLICAL LDO",LDO სენსორის ქუდი
ზეწოლის საზომი სენსორი,optibar pm 5060 c
"CL114 cable, 1m, for screw cap electrode FX/S7/coax, BNC plug",ელექტროდის კაბელი
"Assembly, Y-Strainer, Process Analyzer",Y-ფილტრი ასამბლეა
Deuterium Lamp for DR,დეუტერიუმის ლამპა
"Pressure regulator for 5500sc analysers, preset at 0.3 bar",წნევის რეგულატორი
"calcium chloride, 500 g",კალციუმის ქლორიდი
"Deuterium Lamp for DR
5000",დეუტერიუმის ლამპა
"stirring bars rotilabo® glass, 250 mm, ø: 7 mm","მინის სარეველები,"
"Powder Pillows, DPD (pk",ფხვნილის ბალიშები
Reagent Solution (100,რეაგენტის ხსნარი 
Phosphate Reagent,ფოსფატის რეაგენტი
Reagent Powder,რეაგენტის ფხვნილი
ორ პომპიანი კონტროლერი,basiclogo bd 00 e
"measuring cylinders class a blue graduations, 1000 ml",საზომი ცილინდრები
ტუმბოს მართვის პანელი,basiclogo bd 00 e
Hall Sensor Tester,სენსორის ტესტერი
Hebefix 200-50 Above floor tank,მცირე რეზერვუარი
"kit or d252 nbr
vdroo95",ო-რგოლის ნაკრები
DR3900,სპექტროფოტომეტრი
წყლის წნევის მრიცხველი,optibar psm 1010
"kit or d169 epdm
vdroo10-15-20",ო-რგოლის ნაკრები
Lithium battery,ლითიუმის ბატარეა
DR6000 UV VIS Spectrophotometer,სპექტროფოტომეტრი
Sample vials for TU5200 Benchtop Laser Turbidimeter,სინჯის ფლაკონები
"Cable Assembly, Pinch Valve, 3 Way, Process Analyzer",კაბელის ასამბლეა
"Cable Assembly, Reagent Valve, Process Analyzer",რეაგენტის კაბელი
"pasteur pipettes with folding bellows graduated, 1.5 ml, 134 mm",პასტერი პიპეტები
"Stopper, Neoprene,
Solid, Size 1, 12/pk",ნეოპრენის საცობი
"Stopper, Neoprene,",ნეოპრენის საცობი
Pipette tips 1.0-5.0 mL (750 pcs),პიპეტის ბუნიკები
AluVer 3 Aluminum Reagent Powder Pillows,ალუმინის ფხვნილი
"Pipette tips for Tensette pipette 1970010, sterile, 1.0-10.0 mL, pk/50",პიპეტის ბუნიკები
დიფერენციალური წნევის სენსორი,optibar dsp 3000
"Solution Pillows, 0.009",ხსნარის ბალიშები
"Filter with GoreTex membrane for 6110 V3
",გორტექსის ფილტრი
"Reducing Solution, ORP Electrodes",დაჟანგვის ხსნარი
ტემპერატურის სენსორი,optitemp tra-w30
რკინაზე დასამაგრებელი ტემპერატურის ტრანსმიტერი.,optitemp tt 12 r
DR6000 UV VIS Spectrophotometer without RFID Technology,სპექტროფოტომეტრი
Filter with GoreTex membrane for 6110 V3,გორტექსის ფილტრი
"syringe filter, ptfe, 0,45 µm, 25 mm",ფილტრები შპრიცის
"DR3900
Spectrophotometer
without RFID*
Technology",სპექტროფოტომეტრი
Protective Glove,მზომის ჩასადები
Portable HQ Series Field Case,პორტატული კეისი
DR 3900 VIS Spectrophotometer,სპექტოფოტომეტრი
"Sample cell, 1 inch round Polystyrene, 2 pcs",სანიმუშო უჯრედი
"Sample cell, 1 inch round Glass, 6 pcs",სანიმუშო უჯრედი
DR1900 Portable spectrophotometer (bundle),სპექტოფოტომეტრი
დონის განსაზღვრის სენორი,optiflex 7200 c
"Sample cell, 25 mm round Glass, 6 pcs",სანიმუშო უჯრედი
"Ethernet cable M12 to RJ45, 5 m",ეთერნეტი კაბელი
Sensor head BOD Direct Plus,სენსორის თავაკი
"Pipet tips, 5 ul - 200 ul capacity, 1000/pk",პიპეტის წვერები
thermohygrometer- y401.1,თერმოჰიდრომეტრი
griess reagent,გრისის რეაგენტი
"Pipette tips 1.0-10.0 mL for electronic pipette, 50 pcs",პიპეტის წვერები
წყლის ნაკადის მრიცხველი,optiflux 4000 f
"pipette tips rotilabo® 1000 µl, standard, bag, 500 unit(s), non-sterile, colourless from roth selection",პიპეტის წვერები
Natural Water Standard Solution,წყლის სტანდარტი
thermohygrometer testo 608 series testo 608-h2    with alarm,თერმოჰიდრომეტრი
"Phosphate, total, TNT, 1.0 - 100 mg/L PO₄","ფოსფატი, საერთო"
Free Chlorine Reagent,ქლორის რეაგენტი
Powder Pillows 0.02,პუდრის ბალიშები
Molybdovanadate,მოლიბდოვანადატი
სარქველები,optibar ventile
რადარის ტიპის დონის მაჩვენებელი,optiflex 7200 c
"Sample Cell: 1"" Square",სანიმუშო უჯრედი
"Filter kit, field, coliform & E.coli",ფილტრის ნაკრები
Pipette Holder,პიპეტის დამეჭრი
"Copper trace cuvette test 0.01-1.0 mg/L Cu, 20 tests",სპილენძის ტესტი
Stearic acid,სტეარინის მჟავა
FerroZine Iron Reagent,რკინის რეაგენტი
OTT SLD Side-Looking Doppler Flow Sensor,წყლის მრიცხველი
" Sample Cell: 1"" Square 
Glass 10 mL matched 
pair",სანიმუშო უჯრედი
BOD bottle,ნიმუშის ბოთლები
"Replacement Sensor for CLF10 sc, SS Tip",ცვლადი სენსორი
OPTISOUND 3020 C,წყლის დონმზომი
"Test kit cyanide, model CYN-3",ციანიდის ტესტი
დალუქვის გარნიტურის კომპლექტი,gasket kit 201
"Sample Cell: 1"" Square Glass 10 mL
matched pair",ნიმუშის უჯრედი
"Filter mat M80, 80 x 80 mm, for HT200S",ფილტრის ზეწარი
"wash bottle, 250 ml",ჩამრეცხი ბოთლი
Test strips pH 0 - 14,სატესტო ზოლები
"wash bottle, 500 ml",ჩამრეცხი ბოთლი
Silicone oil,სილიკონის ზეთი
"Sample Cell: 1"" Square Glass 10 mL",ნიმუშის უჯრედი
"COD cuvette test 150-1000 mg/L O₂, 25 tests",კიუვეტის ტესტი
"Paddle tester, total 
aerobic bacteria, 
total coliforms, 10 
pieces",პადლის ტესტერი
"weighing pan rotilabo® blue, antistatic, 100 ml, 85 mm, 85 mm",ასაწონი ჯამები
Seals for all 3 phase pumps,წყლის სისტემა
"Nitrogen, total, TNT,","აზოტი, საერთო"
ფილტრი,akualys agm70
Bag filter,წყლის სისტემა
"Mechanical flow meter - 1,6-16 cmh",წყლის სისტემა
Transmitter 4.20ma 10bar,წყლის სისტემა
Unigate CL,ელექტრო სქემა
"n-Hexadecane,",ნ-ჰექსადეკანი
Sulfanilamide,სულფანილამიდი
"Sample cell, 50 mm",ნიმუშის კოლბა
"Cyclohexanone, 100mL MDB",ციკლოექსანონი
"Round cuvettes for LICO,",მინის კიუვეტა
"Sample Cell: 1"" Square
Glass 10 mL matched
pair",ნიმუშის კოლბა
"Sample cell, 50 mm
rectangular Glass, 1 pcs
(2629250)",ნიმუშის კოლბა
"1,2,3-benzotriazole, 1 kg
sku: 9924.3",ბენზოტრიაზოლი
"pocket balance cm series, 0,1 g, 150 g, cm 150-1n",ჯიბის სასწორი
შეფუთვის საფასური,Packaging Fee
Bleaching (3),გათეთრება (3)
"Nitrogen, total, TNT, 
0.5-25 mg/L N","აზოტი, საერთო"
"spoon spatulas with flat spoon, 150 mm",შპატელი/კოვზი
LDO Sensorkappe,სენსორის ხუფი
"impeller 90m3 d145,3
aisi304
vdroo90 pos. 32",იმპელერი 90მ³
"Nitrogen, Ammonia TNT, 0.4 - 50 mg/L NH₃-N","აზოტი, ამიაკი"
"diffuser 90m3 aisi304
vdroo90 pos. 8",დიფუზორი 90მ³
"Nitrogen, Ammonia TNT, 0.02 - 2.50 mg/L NH₃-N","აზოტი, ამიაკი"
Thomson Channels,ტომსონის არხი
Automatic Backwash Bag Filter,წყლის სისტემა
UF membrane caps,წყლის სისტემა
sulphanilamide,სულფანილამიდი
"COD cuvette test 5-60 mg/L O₂, 25 tests",კუვეტის ტესტი
ოპტიკური სიგნალის გადაცემის მოწყობილობა,optiwave 1520
"Valve, Toggle, 1/8 FNPT to 1/8 FNPT",ტოგლ სარქველი
რადარული დონეზე მაჩვენებელი,optiwave 1520
Actuator valve,წყლის სისტემა
ring seals for UF membrane,წყლის სისტემა
Flowmeter for MMF200-36,წყლის სისტემა
"Coupling 2""",წყლის სისტემა
"Nitrobenzene,",ნიტრობენზოლი
Intellical PHC101 Field,pH ელექტროდი
"beaker rotilabo® low form, 50 ml",ქიმიური ჭიქა
USB stick,იუზბი კაბელი
"measuring cylinders class a blue graduations, 100 ml",ქიმიური ჭიქა
სტატიკური მიქსერი,static mixer
"Intellical PHC201 Laboratory General Purposes Gel Filled pH Electrode,",ელექტროდი pH
"beaker rotilabo® low form, 600 ml",ქიმიური ჭიქა
pH Electrode for 8362 Ultrapure Water Sensor,ph ელექტროდი
"beaker rotilabo® low form, 250 ml",ქიმიური ჭიქა
TL2310 LED Turbidimeter,ტურბიდიმეტრი
"Intellical PHC201 Laboratory General Purposes Gel Filled pH Electrode, 1 m Cable",pH ელექტროდი
vn3044406s0010f80000,IFC 300     
"Intellical PHC101 Field
Low Maintenance Gel
Filled pH Electrode, 10
m Cable",pH ელექტროდი
"beaker rotilabo® low form, 100 ml",ქიმიური ჭიქა
OPTISONIC 6000,ტრანსდუსერი
"COD standard solution, 300 mg/L O₂ (NIST), 200 mL",სტანდარტული
Certificate of Origin ,სერტიფიკატი
"volumetric flasks class a clear glass, 1000 ml, 24/29",მზომი კოლბა
"volumetric flasks class a clear glass, 500 ml, 19/26",მზომი კოლბა
"volumetric flasks class a clear glass, 100 ml, 12/21",მზომი კოლბა
წყლის ფილტრაციის ლამელა მოწყობილობა,lamella pvc
ლამელა,lamella pvc
Dosing Pump,დოზის ტუმბო
Carrier Profile & Anti floating Fixtures,აქსესუარები
Non-return valve AF cartridge,უკუსარქველი
"volumetric flasks class a clear glass, 250 ml, 14/23",მზომი კოლბა
"volumetric flasks class a clear glass, 50 ml, 12/21",მზომი კოლბა
AU 45° reflector TU5xxx,რეფლექტორი
trichloromethane/chloroform 2.5 l per pack,ქლოროფორმი
"SC4500 Controller, Prognosys, 5x mA Output, 1 digital Sensor, 100 - 240 VAC, without power cord",კონტროლერი
"HQ430D Laboratory Single Input, Multi-Parameter Meter - pH, Conductivity, Optical Dissolved Oxygen, ORP, and ISE with Electrode Stand",მულტიმეტრი
seven2go cond meter s7 (set),მულტიმეტრი
"hydrometer precision, 1.500 to 1.600 g/cm³",არეომეტრი
"Sample cells with caps for 2100 portable turbidimeters, 10 mL, 6 pcs",კიუვეტები
"hydrometer precision, 1.200 to 1.300 g/cm³",არეომეტრი
VuLink უკაბელო კომუნიკაციის ინტერფეისი,vulink ci
"hydrometer precision, 0.900 to 1.000 g/cm³",არეომეტრი
Intellical PHC101,ელექტროდი
"round filters type: mn 640 w, ø: 150 mm",ფილტრები 
Sample vials for TU5200,კიუვეტები
"hydrometer precision, 1.400 to 1.500 g/cm³",არეომეტრი
"hydrometer precision, 1.100 to 1.200 g/cm³",არეომეტრი
"hydrometer precision, 1.300 to 1.400 g/cm³",არეომეტრი
"hydrometer precision, 1.600 to 1.700 g/cm³",არეომეტრი
"SENSION+ ORP/Redox Gel electrode, ceramic diaphragm",ელექტროდი
"culture vials with screw cap soda-lime glass, 20 ml, height: 160 mm",სინაჯრები
"hydrometer precision, 1.000 to 1.100 g/cm³",არეომეტრი
"hydrometer precision, 0.800 to 0.900 g/cm³",არეომეტრი
"hydrometer precision, 0.700 to 0.800 g/cm³",არეომეტრი
Intellical CDC401,ელექტროდი
"pH electrode 5334T, with PT1000, 0-100 ºC, 5 bar, MP-4 connector",ელექტროდი
Intellical MTC101,ელექტროდი
Intellical LDO101,ელექტროდი
"hydrometer precision, 1.700 to 1.800 g/cm³",არეომეტრი
"hydrometer precision, 1.800 to 1.900 g/cm³",არეომეტრი
ელექტრომაგნიტური ნაკადის გადამყვანი,ifc 100 c
"Pillows, pK/100",ბალიშები
მილი,hose 6mm
precision balance me2002t/00,სასწორი
Standards Calibration,ნაკრები
c315.300.c2.k   load cell platform scale,სასწორი
balance xpr204s,სასწროი
სიგნალის გამაძლიერებელი ნაკადის საზომი სისტემებისთვის,ifc 050
"tweezers straight blunt, 130 mm
sku: 2689.1",პინცეტი
Flash Mixer AISI 304,მიქსერი
wcl 20/a2 precision balance,სასწორი
Drive Ring Round Cuvette,კიუვეტა
კონტროლის/დისპლეის მოწყობილობა,shd 200
სიგნალის კონვერტერი,ifc 050
"Pipette, variable volume",პიპეტი
Tensette Pipette 1.0 - 10.0 mL,პიპეტი
Lamella PVC,ლამელა
"solution, 50 mL, SCDB",ხსნარი
PRIOX 50-500/11 M AUT,ტუმბო
MULTICUT-PUMP 20/2 M plus,ტუმბო
"acid F, 20 ampules",მჟავა
"screw top bottle rotilabo® clear glass, 500 ml, gl 45",ბოთლი
TANK AT 115,ავზი
